id,region,town,city,price,price_per_meter,area,room_count,oldness,floor_count,has_parking,has_storeroom,has_elevator,has_loan,lat,lon,updated_at
P90ATgPPfJY=,1,shariati,tehran,26000,201,129,3,2,3,True,True,True,False,35.803604,51.435583,2023-12-02T15:42:20.812324+03:30
4zKqBnOk_pc=,1,shariati,tehran,11750,106,110,3,10,3,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:21.209447+03:30
TnEqsaY64qM=,1,shariati,tehran,11000,100,110,3,8,4,True,True,True,False,35.790005,51.452492,2023-12-02T15:42:21.644505+03:30
WXtchcFJsq4=,1,shariati,tehran,33000,183,180,3,14,2,True,True,True,False,35.789866,51.428341,2023-12-02T15:42:21.943915+03:30
ztNKcngzL0A=,1,fereshteh,tehran,44500,221,201,3,13,3,True,True,True,False,35.783372,51.430328,2023-12-02T15:42:21.951920+03:30
VMxKsdEgkc0=,1,shariati,tehran,28000,155,180,3,17,5,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:22.305785+03:30
MxG~5xJA~_k=,1,shariati,tehran,18500,146,126,2,15,2,True,True,True,False,35.801133,51.443319,2023-12-02T15:42:22.654972+03:30
Lfa4v27ewCk=,1,shariati,tehran,36250,170,213,3,3,3,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:22.959242+03:30
8vcNRvXZj3k=,1,fereshteh,tehran,100000,238,420,4,15,5,True,True,True,False,35.788915,51.422552,2023-12-02T15:42:23.275946+03:30
ljBR3cE9ADA=,1,shariati,tehran,30000,166,180,3,16,2,True,True,True,False,35.789866,51.428341,2023-12-02T15:42:23.592440+03:30
rBEHB9o6S4Q=,1,shariati,tehran,13000,118,110,3,12,4,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:23.720586+03:30
HrvI_OUZp5o=,1,fereshteh,tehran,38000,246,154,3,12,2,True,True,True,False,35.788915,51.422552,2023-12-02T15:42:24.039969+03:30
RIqKxB~dTKc=,1,shariati,tehran,32900,269,122,2,2,4,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:24.076002+03:30
O~n5ESq1eEI=,1,shariati,tehran,32500,175,185,3,16,2,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:24.138502+03:30
V9~DBklGl7E=,1,fereshteh,tehran,10800,156,69,1,22,1,True,True,True,False,35.789866,51.428341,2023-12-02T15:42:24.170985+03:30
Kr~v9lFii8c=,1,fereshteh,tehran,25000,250,100,2,5,2,True,False,True,False,35.788915,51.422552,2023-12-02T15:42:24.207428+03:30
GsXV8XTbVhc=,1,shariati,tehran,19800,158,125,2,17,3,True,True,True,False,35.790178,51.435478,2023-12-02T15:42:24.538559+03:30
txc20WATBR8=,2,punak-hamila,tehran,20000,153,130,3,6,1,True,True,True,False,35.758779,51.339461,2023-12-02T15:42:24.708772+03:30
LSKgKX8V55g=,1,fereshteh,tehran,99000,307,322,3,5,4,True,True,True,False,35.788915,51.422552,2023-12-02T15:42:25.195905+03:30
_3r5hu~4KNQ=,1,fereshteh,tehran,45000,180,250,3,10,3,True,True,True,False,35.788915,51.422552,2023-12-02T15:42:25.285763+03:30
zVf7hZuso7g=,2,punak-hamila,tehran,7000,87,80,2,22,3,True,True,False,False,35.759076,51.339927,2023-12-02T15:42:25.406950+03:30
IxrGdhT97O4=,1,fereshteh,tehran,37000,226,163,3,14,4,True,True,True,False,35.788915,51.422552,2023-12-02T15:42:25.452384+03:30
JNdVMLTFhII=,2,punak-hamila,tehran,11000,120,91,2,13,3,True,True,True,False,35.757421,51.336933,2023-12-02T15:42:25.789806+03:30
NWpZhHJESN0=,1,fereshteh,tehran,20000,217,92,2,16,4,True,True,True,False,35.788915,51.422552,2023-12-02T15:42:25.976512+03:30
C51MbomNCGY=,2,punak-hamila,tehran,10200,113,90,2,13,5,True,True,True,False,35.75218,51.336913,2023-12-02T15:42:26.269895+03:30
Y3D3hrBf3z8=,2,punak-hamila,tehran,10500,116,90,2,14,5,True,True,True,False,35.758779,51.339461,2023-12-02T15:42:26.344500+03:30
5JJASFAm1gY=,2,punak-hamila,tehran,6250,105,59,1,18,1,True,True,True,False,35.759665,51.339892,2023-12-02T15:42:26.416500+03:30
h3hr~vBTvfg=,2,punak-hamila,tehran,12000,120,100,3,10,2,True,True,True,False,35.760935,51.336557,2023-12-02T15:42:26.480502+03:30
0TKjws7vRKM=,1,fereshteh,tehran,40000,180,222,3,30,1,True,True,True,False,35.789866,51.428341,2023-12-02T15:42:26.528493+03:30
q~ufLN~73_M=,2,punak-hamila,tehran,9800,125,78,2,8,8,True,True,True,False,35.758779,51.339461,2023-12-02T15:42:26.672496+03:30
Gki5xXecI4A=,2,punak-hamila,tehran,4500,81,55,1,15,3,True,True,False,False,35.756966,51.336531,2023-12-02T15:42:26.936503+03:30
gbYOonPZhZM=,2,punak-hamila,tehran,12000,94,127,3,4,1,True,True,True,False,35.758911,51.327653,2023-12-02T15:42:27.317550+03:30
A79codI6V7k=,2,punak-hamila,tehran,6600,94,70,2,20,1,True,True,False,False,35.758779,51.339461,2023-12-02T15:42:27.472282+03:30
G7jLdrSrMY0=,2,punak-hamila,tehran,4800,70,68,2,17,4,True,True,True,False,35.758779,51.339461,2023-12-02T15:42:27.520978+03:30
uBBUqgLJY1c=,1,zafaraniyeh,tehran,45000,225,200,3,15,4,True,True,True,False,35.812162,51.416533,2023-12-02T15:42:28.274467+03:30
ThS0TzS9joY=,2,punak-hamila,tehran,7450,103,72,2,25,3,True,True,True,False,35.758779,51.339461,2023-12-02T15:42:28.304687+03:30
HZiQo7UV1_8=,2,punak-hamila,tehran,5800,80,72,2,20,4,False,True,True,False,35.758779,51.339461,2023-12-02T15:42:30.321513+03:30
5hwRp7rshEo=,1,zafaraniyeh,tehran,29500,146,201,3,16,1,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:30.503520+03:30
C4q1Rske96w=,1,zafaraniyeh,tehran,34500,164,210,4,17,4,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.188304+03:30
PUers3q3SwE=,1,zafaraniyeh,tehran,28440,180,158,3,18,4,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.238269+03:30
5RR5YZO2lCY=,1,zafaraniyeh,tehran,38000,220,172,3,10,2,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.354336+03:30
TIAiDJcct7c=,2,punak-hamila,tehran,10500,123,85,2,12,3,True,True,True,False,35.758779,51.339461,2023-12-02T15:42:31.376307+03:30
D2roYigIVvM=,1,zafaraniyeh,tehran,32375,185,175,3,23,4,True,True,True,False,35.804295,51.411204,2023-12-02T15:42:31.320914+03:30
d3ALVwY~L9c=,1,zafaraniyeh,tehran,36900,217,170,3,12,4,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.388286+03:30
HLsPGiOibpI=,1,zafaraniyeh,tehran,34500,189,182,3,10,5,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.480858+03:30
m_L3yxLZFGs=,1,zafaraniyeh,tehran,11500,188,61,1,3,2,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.489394+03:30
nfKk1pO28cY=,1,zafaraniyeh,tehran,29800,193,154,3,18,1,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.536981+03:30
uhXKab75o8o=,1,zafaraniyeh,tehran,29800,194,153,3,18,1,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.773007+03:30
PDbWfAboQ_4=,1,zafaraniyeh,tehran,37600,218,172,3,10,4,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:31.838080+03:30
UFaudKkRVWI=,1,zafaraniyeh,tehran,45600,290,157,3,1,1,True,True,True,False,35.807303,51.40901,2023-12-02T15:42:31.887784+03:30
heUWgokHzvw=,1,zafaraniyeh,tehran,11800,190,62,1,2,2,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:32.437757+03:30
F7qW4JxufE0=,2,sattarkhan,tehran,4900,70,70,2,20,3,True,True,False,False,35.720145,51.357105,2023-12-02T15:42:32.674914+03:30
ItY_PJ0~nl8=,1,zafaraniyeh,tehran,57000,162,350,4,18,7,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:32.926912+03:30
JzgdUNE~fA4=,1,zafaraniyeh,tehran,35000,194,180,3,10,5,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:32.977950+03:30
1fiqDYjDbdQ=,2,sattarkhan,tehran,19500,131,148,3,1,2,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:33.036907+03:30
O1p7pjyYnLg=,2,sattarkhan,tehran,9000,90,100,2,10,1,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:33.269527+03:30
eHrDMFnp7xc=,2,sattarkhan,tehran,7350,99,74,2,15,3,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:33.674408+03:30
fxCUjsZpUrQ=,2,sattarkhan,tehran,5900,83,71,2,13,4,True,True,True,False,35.705054,51.376213,2023-12-02T15:42:33.709959+03:30
MtDugN2JvCI=,2,sattarkhan,tehran,7700,120,64,1,4,6,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:33.758920+03:30
1c3dYi81Cno=,2,sattarkhan,tehran,6800,75,90,2,10,4,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:33.806448+03:30
3UzATHub6Ko=,2,sattarkhan,tehran,6500,73,89,2,28,4,True,True,False,False,35.720145,51.357105,2023-12-02T15:42:34.007507+03:30
Q2Ku8iZR_y0=,2,sattarkhan,tehran,8900,89,100,2,20,5,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:34.107646+03:30
3rZJ6vKKdqo=,2,sattarkhan,tehran,5600,70,80,2,20,3,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:34.153912+03:30
DYg5i0jCUQM=,2,sattarkhan,tehran,13200,100,132,3,13,1,True,True,True,False,35.705502,51.386446,2023-12-02T15:42:34.192344+03:30
Tg2gUZqRHGk=,2,sattarkhan,tehran,8000,88,90,2,40,2,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:34.408109+03:30
iakqXfYe~D0=,2,punak-hamila,tehran,8800,117,75,2,10,4,True,True,True,False,35.758779,51.339461,2023-12-02T15:42:35.106609+03:30
Yv6m7TyNOT8=,2,sattarkhan,tehran,5900,98,60,1,20,1,True,True,True,False,35.71488,51.371126,2023-12-02T15:42:35.146609+03:30
lpMOHA5Z5Yo=,2,sattarkhan,tehran,20000,135,148,3,2,3,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:35.383715+03:30
rU4QFETT9co=,1,zafaraniyeh,tehran,35000,162,215,4,16,4,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:35.428280+03:30
C71yLoPBhPE=,2,sattarkhan,tehran,7000,70,100,2,22,3,False,True,False,False,35.7218,51.375007,2023-12-02T15:42:35.467454+03:30
VFi8E8fB4BA=,2,sattarkhan,tehran,6700,95,70,2,22,4,True,True,False,False,35.720145,51.357105,2023-12-02T15:42:35.515455+03:30
rmK2ZVpyek0=,2,sattarkhan,tehran,13000,100,129,3,5,1,True,True,True,False,35.717898,51.355224,2023-12-02T15:42:35.542030+03:30
CnQhLEhNFZE=,2,sattarkhan,tehran,12000,120,100,3,3,2,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:35.675426+03:30
